,team1,team2,date,score,winner,elo1,elo2
11004,furia,evil geniuses,2020-09-16 19:00:00+00:00,2 - 0,furia,1727.7489204985236,1798.670293855261
11005,big,godsent,2020-09-16 19:00:00+00:00,2 - 1,big,1821.9229089012322,1659.0889703067792
11006,incognito,depth,2020-09-17 00:30:00+00:00,1 - 0,incognito,1371.916248329749,1383.1375999177753
11007,new england whalers,secret,2020-09-17 00:30:00+00:00,1 - 0,new england whalers,1490.5452928202235,1627.992105498812
11008,imperium,teamone,2020-09-17 01:45:00+00:00,0 - 1,teamone,1343.349389665499,1572.976462371318
11009,kinship,ex-polar ace,2020-09-17 01:45:00+00:00,0 - 1,ex-polar ace,1360.6615846072386,1372.0323128023515
11010,rugratz,rbg,2020-09-17 01:45:00+00:00,1 - 0,rugratz,1453.7701456944035,1426.7778850357154
11011,tyloo,after,2020-09-17 05:00:00+00:00,2 - 0,tyloo,1812.5222480132031,1430.2112834532097
11012,avant,forbidden,2020-09-17 10:05:00+00:00,1 - 0,avant,1720.8920468838205,1232.1629488594792
11013,r!ot,order,2020-09-17 10:05:00+00:00,0 - 1,order,1441.517338677036,1717.7676348238788
11014,aftermind,rooster 2,2020-09-17 10:05:00+00:00,1 - 0,aftermind,1363.4974533675563,1372.8960564096526
11015,overt,bantz,2020-09-17 10:05:00+00:00,1 - 0,overt,1281.0656541785952,1423.9213973266678
11016,huat zai,checkmate,2020-09-17 08:00:00+00:00,1 - 2,checkmate,1370.7383556633652,1396.6259395768752
11017,blessed,lakers,2020-09-17 11:05:00+00:00,1 - 0,blessed,1420.2835751529267,1360.689694823859
11018,blessed,caught off guard,2020-09-17 12:05:00+00:00,0 - 1,caught off guard,1420.2835751529267,1334.8279284741006
11019,order,overt,2020-09-17 12:05:00+00:00,1 - 0,order,1717.7676348238788,1281.0656541785952
11020,tiger,bren,2020-09-17 11:00:00+00:00,2 - 1,tiger,1543.4179320496269,1423.173275887001
11021,gambit youngsters,godsent,2020-09-17 10:00:00+00:00,2 - 1,gambit youngsters,1735.4235070937302,1659.0889703067792
11022,g2,ago,2020-09-17 12:00:00+00:00,1 - 2,ago,1701.3414146358161,1539.8550269816885
11023,alternate attax,avez,2020-09-17 15:00:00+00:00,0 - 1,avez,1581.9684991248266,1505.178480541375
11024,pact,secret,2020-09-17 15:00:00+00:00,0 - 1,secret,1460.6824401017616,1627.992105498812
11025,forze,skade,2020-09-17 15:00:00+00:00,1 - 0,forze,1681.5980745746533,1495.5547886546078
11026,endpoint,nexus,2020-09-17 16:15:00+00:00,0 - 1,nexus,1486.6791054882317,1521.8936009340312
11027,enterprise,sampi,2020-09-17 16:00:00+00:00,1 - 0,enterprise,1359.3887381188265,1400.19724062665
11028,fwrd,ubiteam,2020-09-17 17:00:00+00:00,0 - 1,ubiteam,1319.9884955048312,1422.3041790476143
11029,pact,forze,2020-09-17 16:15:00+00:00,0 - 1,forze,1460.6824401017616,1681.5980745746533
11030,dark tigers,eeriness,2020-09-17 17:15:00+00:00,1 - 0,dark tigers,1394.46735105672,1318.939548444797
11031,ttc,planetkey,2020-09-17 17:00:00+00:00,1 - 0,ttc,1332.563207999608,1379.8374578205073
11032,prifu,myinsanity,2020-09-17 18:00:00+00:00,0 - 1,myinsanity,1286.5348200071837,1341.7914415037196
11033,panthers never surrend,epsilon,2020-09-17 18:00:00+00:00,0 - 1,epsilon,1409.75166703506,1339.4550997773617
11034,red instinct,fragbox,2020-09-17 18:00:00+00:00,1 - 0,red instinct,1549.8315807423908,1430.1128870689988
11035,fragbox,red instinct,2020-09-17 19:00:00+00:00,0 - 1,red instinct,1430.1128870689988,1549.8315807423908
11036,forze,fate,2020-09-17 18:45:00+00:00,0 - 1,fate,1681.5980745746533,1435.084861134978
11037,brute,sinners,2020-09-17 18:30:00+00:00,0 - 1,sinners,1214.6442563460987,1576.2199103761825
11038,sparx,kingzzz,2020-09-17 19:00:00+00:00,0 - 1,kingzzz,1417.3388331446224,1587.3466089066092
11039,myinsanity,prifu,2020-09-17 19:00:00+00:00,0 - 1,prifu,1341.7914415037196,1286.5348200071837
11040,planetkey,ttc,2020-09-17 18:15:00+00:00,0 - 1,ttc,1379.8374578205073,1332.563207999608
11041,thedice,warthox,2020-09-17 19:00:00+00:00,1 - 0,thedice,1513.1895226853048,1282.9026708395352
11042,natus vincere,heroic,2020-09-17 15:30:00+00:00,2 - 1,natus vincere,1757.9418501148843,1834.1884316205076
11043,kingzzz,sparx,2020-09-17 20:00:00+00:00,1 - 0,kingzzz,1587.3466089066092,1417.3388331446224
11044,esuba,eclot,2020-09-17 19:45:00+00:00,1 - 0,esuba,1458.8700978994843,1349.4539301173313
11045,lowlandlions,apologis,2020-09-17 20:00:00+00:00,1 - 0,lowlandlions,1438.4894232862564,1386.94468898867
11046,fragbox,myinsanity,2020-09-17 20:00:00+00:00,0 - 1,myinsanity,1430.1128870689988,1341.7914415037196
11047,divizon,penta,2020-09-17 19:30:00+00:00,0 - 1,penta,1400.0,1398.924980474129
11048,gen.g,100 thieves,2020-09-17 19:00:00+00:00,2 - 0,gen.g,1543.1185068888406,1537.7795102085852
11049,myinsanity,fragbox,2020-09-17 20:00:00+00:00,0 - 1,fragbox,1341.7914415037196,1430.1128870689988
11050,penta,divizon,2020-09-17 20:45:00+00:00,1 - 0,penta,1398.924980474129,1400.0
11051,vitality,complexity,2020-09-17 19:00:00+00:00,0 - 2,complexity,1795.806126179898,1797.038007151186
11052,sixth gear,new england whalers,2020-09-17 23:15:00+00:00,0 - 1,new england whalers,1423.8026003364403,1490.5452928202235
11053,eclipse,rebirth,2020-09-18 00:30:00+00:00,1 - 0,eclipse,1328.0318501576053,1409.124049559094
11054,imperium,rugratz,2020-09-18 01:45:00+00:00,0 - 1,rugratz,1343.349389665499,1453.7701456944035
11055,third impact,kinship,2020-09-18 01:45:00+00:00,1 - 0,third impact,1349.8428932021968,1360.6615846072386
11056,ex-warriors,ex-polar ace,2020-09-18 01:45:00+00:00,0 - 1,ex-polar ace,1414.0209515408021,1372.0323128023515
11057,alma,furia academy,2020-09-18 01:00:00+00:00,0 - 2,furia academy,1355.0545499933348,1381.0815049466999
11058,secret,ex-recon 5,2020-09-18 03:00:00+00:00,1 - 0,secret,1627.992105498812,1357.420996531853
11059,zigma,after,2020-09-18 05:00:00+00:00,1 - 2,after,1458.0520142322348,1430.2112834532097
11060,tiger,checkmate,2020-09-18 08:30:00+00:00,1 - 2,checkmate,1543.4179320496269,1396.6259395768752
11061,spirit,mousesports,2020-09-18 12:00:00+00:00,2 - 0,spirit,1786.5264976426458,1551.9239719586487
